Estado creación,F. operación,Fecha valor,F. liquidación,Contrato,ISIN,Sentido,Cantidad,Precio,Tipo de cambio,Efectivo final,Efectivo final (divisa cartera),Efectivo final + retención (divisa cartera),Cartera,Ticket,Divisa,Mercado de acciones,Producto,Naturaleza,Precio con cupón,Importe final,Intereses,Brokerage,Com. agencia + IVA,Comisión ext. + IVA,Com.agn. (divisa cartera) + IVA,Com.ext. (divisa cartera) + IVA,Retención,Retención (divisa cartera)
Creación,18/10/2019,18/10/2019,18/10/2019,HELIA III 19-HELIA III 19,HELIA III 19,Compra,375000,1,1,-375000,-375000,-375000,1142.02-BALDOMERO PE PRE-MDF,5-230224x03,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,27/11/2020,27/11/2020,27/11/2020,HELIA III 19-HELIA III 19,HELIA III 19,Compra,554325,1,1,-554325,-554325,-554325,1142.02-BALDOMERO PE PRE-MDF,5-230224x05,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,18/12/2020,18/12/2020,18/12/2020,STONEHENGE 20-STONEHENGE 20,STONEHENGE 20,Compra,200000,1,1,-200000,-200000,-200000,1142.02-BALDOMERO PE PRE-MDF,5-230224x07,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,18/12/2020,18/12/2020,18/12/2020,STONEHENGE 20-STONEHENGE 20,STONEHENGE 20,Compra,0,15000,1,-15000,-15000,-15000,1142.02-BALDOMERO PE PRE-MDF,5-230224x08,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,23/12/2020,23/12/2020,23/12/2020,ASABYS 20-ASABYS 20,ASABYS 20,Compra,1700000,1,1,-1700000,-1700000,-1700000,1142.02-BALDOMERO PE PRE-MDF,5-230224x16,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,23/12/2020,23/12/2020,23/12/2020,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,18280,1,1,-18280,-18280,-18280,1142.02-BALDOMERO PE PRE-MDF,5-230224x23,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,23/12/2020,23/12/2020,23/12/2020,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,589,1,-589,-589,-589,1142.02-BALDOMERO PE PRE-MDF,5-230224x24,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Creación,23/12/2020,23/12/2020,23/12/2020,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,1245214,1,1,-1245214,-1245214,-1245214,1142.02-BALDOMERO PE PRE-MDF,5-230224x25,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,23/12/2020,23/12/2020,23/12/2020,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,"35016,88",1,"-35016,88","-35016,88","-35016,88",1142.02-BALDOMERO PE PRE-MDF,5-230224x26,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
Modificación,23/12/2020,23/12/2020,23/12/2020,PORTOBELLO 20-PORTOBELLO 20,PORTOBELLO 20,Compra,0,0,1,"-4590,16","-4590,16","-4590,16",1142.02-BALDOMERO PE PRE-MDF,5-230224x27,EUR,,fund,Cash,0,,,0,0,0,0,0,0,0
